group,n,weight,value
Uncorrelated,50,11457,18331
Uncorrelated,100,25730,37171
Uncorrelated,200,48331,78515
Uncorrelated,500,128495,206712
Uncorrelated,1000,248367,407099
01WeeklyCorrelated,50,12054,13539
01WeeklyCorrelated,100,25469,28042
01WeeklyCorrelated,200,49586,54945
1WeeklyCorrelated,500,124542,137409
01WeeklyCorrelated,1000,249664,275845
 02StronglyCorrelated,50,12067,15567
02StronglyCorrelated,100,25470,32470
02StronglyCorrelated,200,49592,63692
02StronglyCorrelated,500,124544,159544
02StronglyCorrelated,1000,249453,319253
03InverseStronglyCorrelated,50,14542,12942
03InverseStronglyCorrelated,100,30420,27220
03InverseStronglyCorrelated,200,59493,53293
03InverseStronglyCorrelated,500,149296,133396
03InverseStronglyCorrelated,1000,298666,266766
04AlmostStronglyCorrelated,50,12067,15581
04AlmostStronglyCorrelated,100,25469,32473
04AlmostStronglyCorrelated,200,49592,63713
04AlmostStronglyCorrelated,500,124544,159552
04AlmostStronglyCorrelated,1000,249599,319402
05SubsetSum,50,12067,12067
05SubsetSum,100,25470,25470
05SubsetSum,200,49592,49592
05SubsetSum,500,124544,124544
05SubsetSum,1000,249664,249664
06UncorrelatedWithSimilarWeights,50,2401260,18144
06UncorrelatedWithSimilarWeights,100,4902242,38026
06UncorrelatedWithSimilarWeights,200,9904859,75455
06UncorrelatedWithSimilarWeights,500,24712444,186589
06UncorrelatedWithSimilarWeights,1000,49525290,372392
07SpannerUncorrelated,50,7245,8901
07SpannerUncorrelated,100,13689,16983
07SpannerUncorrelated,200,27097,34703
07SpannerUncorrelated,500,68287,87509
07SpannerUncorrelated,1000,136330,171710
08SpannerWeaklyCorrelated,50,5333,15144
08SpannerWeaklyCorrelated,100,10195,28648
08SpannerWeaklyCorrelated,200,20774,56456
08SpannerWeaklyCorrelated,500,52395,142270
08SpannerWeaklyCorrelated,1000,103111,284688
09SpannerStronglyCorrelated,50,5350,25350
09SpannerStronglyCorrelated,100,10180,48280
09SpannerStronglyCorrelated,200,20802,96502
09SpannerStronglyCorrelated,500,52393,242193
09SpannerStronglyCorrelated,1000,103156,482856
10MultipleStronglyCorrelated,50,12066,19666
10MultipleStronglyCorrelated,100,25469,40669
10MultipleStronglyCorrelated,200,49590,80390
10MultipleStronglyCorrelated,500,124542,201342
10MultipleStronglyCorrelated,1000,249660,402460
11ProfitCeiling,50,12067,12060
11ProfitCeiling,100,25469,25455
11ProfitCeiling,200,49592,49569
11ProfitCeiling,500,124542,124491
11ProfitCeiling,1000,249664,249555
12Circle,50,12067,254262
12Circle,100,25470,536677
12Circle,200,49592,1044950
12Circle,500,124544,2624256
12Circle,1000,249664,5260647
